NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
n ä y t t ö,n ä y t ö n,yes,quantitative,t,direct
k a u p a l l i s u u s,k a u p a l l i s u u d e n,no,_,_,_
n y t k ä h d y s,n y t k ä h d y k s e n,no,_,_,_
t o t t u m u s,t o t t u m u k s e n,no,_,_,_
t u o t t e i s t a m i n e n,t u o t t e i s t a m i s e n,no,_,_,_
n i m i k e,n i m i k k e e n,yes,quantitative,k,inverse
g i m m a,g i m m a n,no,_,_,_
h o p e a s i l m ä,h o p e a s i l m ä n,no,_,_,_
l i u t a,l i u d a n,yes,qualitative,t,direct
v a h v i s t u m i n e n,v a h v i s t u m i s e n,no,_,_,_
k a v e n t a m i n e n,k a v e n t a m i s e n,no,_,_,_
v a l i k k o,v a l i k o n,yes,quantitative,k,direct
e s i t e l m ä,e s i t e l m ä n,no,_,_,_
r o u v a,r o u v a n,no,_,_,_
n i s k a,n i s k a n,no,_,_,_
l e i k k a u s,l e i k k a u k s e n,no,_,_,_
k i e l t o l a,k i e l t o l a n,no,_,_,_
k i p u a j a,k i p u a j a n,no,_,_,_
k i r j a l l i s u u s,k i r j a l l i s u u d e n,no,_,_,_
p a k a s t i n,p a k a s t i m e n,no,_,_,_
k o n s e r t t i,k o n s e r t i n,yes,quantitative,t,direct
v a j e,v a j e e n,no,_,_,_
k a b i n e t t i,k a b i n e t i n,yes,quantitative,t,direct
l a s t i,l a s t i n,no,_,_,_
p a s s i i v i s u u s,p a s s i i v i s u u d e n,no,_,_,_
k u u l i j a,k u u l i j a n,no,_,_,_
i s t u m a p a i k k a,i s t u m a p a i k a n,yes,quantitative,k,direct
t r e e n i,t r e e n i n,no,_,_,_
k o h t a,k o h d a n,yes,qualitative,t,direct
t u o m i n e n,t u o m i s e n,no,_,_,_
l a n k k u,l a n k u n,yes,quantitative,k,direct
h a a r e m i,h a a r e m i n,no,_,_,_
t e s t a m e n t t i,t e s t a m e n t i n,yes,quantitative,t,direct
l a p s i,l a p s e n,no,_,_,_
e l a n t o,e l a n n o n,yes,qualitative,t,direct
k e l l o,k e l l o n,no,_,_,_
o n n i s t u m i n e n,o n n i s t u m i s e n,no,_,_,_
o d o t t a m i n e n,o d o t t a m i s e n,no,_,_,_
s e m i n a a r i l a i n e n,s e m i n a a r i l a i s e n,no,_,_,_
t i e d o s t o,t i e d o s t o n,no,_,_,_
t o i m i n t a,t o i m i n n a n,yes,qualitative,t,direct
t i l a n n e,t i l a n t e e n,yes,qualitative,t,inverse
a m a t ö ö r i,a m a t ö ö r i n,no,_,_,_
v a i h d e,v a i h t e e n,yes,qualitative,t,inverse
s u o s i t u s,s u o s i t u k s e n,no,_,_,_
k u n n i a,k u n n i a n,no,_,_,_
p i i k k i,p i i k i n,yes,quantitative,k,direct
a r t i k k e l i,a r t i k k e l i n,no,_,_,_
t u h o,t u h o n,no,_,_,_
f a k s i,f a k s i n,no,_,_,_
o s u u s,o s u u d e n,no,_,_,_
p o i s j ä ä n t i,p o i s j ä ä n n i n,yes,qualitative,t,direct
i s k e l m ä,i s k e l m ä n,no,_,_,_
k u n i n g a t a r,k u n i n g a t t a r e n,yes,quantitative,t,inverse
n a u h a,n a u h a n,no,_,_,_
p r o p a g a n d a,p r o p a g a n d a n,no,_,_,_
p o t e n t i a a l i,p o t e n t i a a l i n,no,_,_,_
a i n e,a i n e e n,no,_,_,_
o s a k e,o s a k k e e n,yes,quantitative,k,inverse
m i e l e n k i i n t o,m i e l e n k i i n n o n,yes,qualitative,t,direct
s u l k e m i n e n,s u l k e m i s e n,no,_,_,_
k e n r a a l i,k e n r a a l i n,no,_,_,_
s u i s t o,s u i s t o n,no,_,_,_
h e r r o i t t e l u,h e r r o i t t e l u n,no,_,_,_
i n s p i r a a t i o,i n s p i r a a t i o n,no,_,_,_
p a l a u t e,p a l a u t t e e n,yes,quantitative,t,inverse
u k k o n e n,u k k o s e n,no,_,_,_
k i r n u,k i r n u n,no,_,_,_
k e h o t u s,k e h o t u k s e n,no,_,_,_
r a h a s t u s,r a h a s t u k s e n,no,_,_,_
k o r i n t t o l a i n e n,k o r i n t t o l a i s e n,no,_,_,_
n a u t i t t a v u u s,n a u t i t t a v u u d e n,no,_,_,_
l u k i o l a i n e n,l u k i o l a i s e n,no,_,_,_
s u u t i n,s u u t t i m e n,yes,quantitative,t,inverse
h ä p e ä,h ä p e ä n,no,_,_,_
f a r m a k o l o g i a,f a r m a k o l o g i a n,no,_,_,_
r o k o t t a m i n e n,r o k o t t a m i s e n,no,_,_,_
l u u,l u u n,no,_,_,_
k a i k k e u s,k a i k k e u d e n,no,_,_,_
v a l t u u s,v a l t u u d e n,no,_,_,_
j ä r k i,j ä r j e n,yes,qualitative,k,direct
i m p e r i u m i,i m p e r i u m i n,no,_,_,_
b i i s i,b i i s i n,no,_,_,_
k i l p a,k i l v a n,yes,qualitative,p,direct
p e i t e,p e i t t e e n,yes,quantitative,t,inverse
t o d i s t u s,t o d i s t u k s e n,no,_,_,_
m a r k k a,m a r k a n,yes,quantitative,k,direct
e t s i v ä,e t s i v ä n,no,_,_,_
t a h t o,t a h d o n,yes,qualitative,t,direct
v i l j e l i j ä,v i l j e l i j ä n,no,_,_,_
k u n i n k u u s,k u n i n k u u d e n,no,_,_,_
a n a t o m i a,a n a t o m i a n,no,_,_,_
k a n n u s t i n,k a n n u s t i m e n,no,_,_,_
j a u h o,j a u h o n,no,_,_,_
s i n f o n i a,s i n f o n i a n,no,_,_,_
r a p p u n e n,r a p p u s e n,no,_,_,_
b u d j e t o i n t i,b u d j e t o i n n i n,yes,qualitative,t,direct
l a t t i a,l a t t i a n,no,_,_,_
v a i s t o,v a i s t o n,no,_,_,_
v i r n i s t y s,v i r n i s t y k s e n,no,_,_,_
k a s v a t u s,k a s v a t u k s e n,no,_,_,_
n a r u,n a r u n,no,_,_,_
a u l a,a u l a n,no,_,_,_
t u u t o r o i n t i,t u u t o r o i n n i n,yes,qualitative,t,direct
k ä ä n n e,k ä ä n t e e n,yes,qualitative,t,inverse
p y r s t ö,p y r s t ö n,no,_,_,_
b i o l o g i a,b i o l o g i a n,no,_,_,_
t u o t a n t o,t u o t a n n o n,yes,qualitative,t,direct
r a s k a u s,r a s k a u d e n,no,_,_,_
k e t t u,k e t u n,yes,quantitative,t,direct
k e h ä,k e h ä n,no,_,_,_
h y v y y s,h y v y y d e n,no,_,_,_
r a k a s t a j a,r a k a s t a j a n,no,_,_,_
k i t k a,k i t k a n,no,_,_,_
y h d e n t y m i n e n,y h d e n t y m i s e n,no,_,_,_
h a j o a m i n e n,h a j o a m i s e n,no,_,_,_
a r k k i t e h t u u r i,a r k k i t e h t u u r i n,no,_,_,_
v a r t i j a,v a r t i j a n,no,_,_,_
k a a p e l i,k a a p e l i n,no,_,_,_
s u b j e k t i,s u b j e k t i n,no,_,_,_
s a k k i,s a k i n,yes,quantitative,k,direct
k a r t o i t t a m i n e n,k a r t o i t t a m i s e n,no,_,_,_
k y l k i,k y l j e n,yes,qualitative,k,direct
k u n n i o i t u s,k u n n i o i t u k s e n,no,_,_,_
l o n g o b a r d i,l o n g o b a r d i n,no,_,_,_
u h k a u s,u h k a u k s e n,no,_,_,_
r i k o l l i s u u s,r i k o l l i s u u d e n,no,_,_,_
d e p a r t e m e n t t i,d e p a r t e m e n t i n,yes,quantitative,t,direct
l o n k k a,l o n k a n,yes,quantitative,k,direct
l o g o p e d i a,l o g o p e d i a n,no,_,_,_
h y v ä k s y m i n e n,h y v ä k s y m i s e n,no,_,_,_
k a n s a l l i s u u s,k a n s a l l i s u u d e n,no,_,_,_
s o v e l t a m i n e n,s o v e l t a m i s e n,no,_,_,_
j ä k ä l ä,j ä k ä l ä n,no,_,_,_
p i l s n e r i,p i l s n e r i n,no,_,_,_
s i h t e e r i s t ö,s i h t e e r i s t ö n,no,_,_,_
p ä h k ä h u l l u,p ä h k ä h u l l u n,no,_,_,_
o l e m i n e n,o l e m i s e n,no,_,_,_
v ä e s t ö,v ä e s t ö n,no,_,_,_
o h i m o,o h i m o n,no,_,_,_
a s i a,a s i a n,no,_,_,_
k a p e u s,k a p e u d e n,no,_,_,_
k a t a m a r a a n i,k a t a m a r a a n i n,no,_,_,_
l a v u a a r i,l a v u a a r i n,no,_,_,_
g l o b a l i s a a t i o,g l o b a l i s a a t i o n,no,_,_,_
m i i n u s,m i i n u k s e n,no,_,_,_
v i r t u o o s i,v i r t u o o s i n,no,_,_,_
p e t t y m y s,p e t t y m y k s e n,no,_,_,_
t u p a k k i,t u p a k i n,yes,quantitative,k,direct
k y r s ä,k y r s ä n,no,_,_,_
m a m i,m a m i n,no,_,_,_
k e k s i n t ö,k e k s i n n ö n,yes,qualitative,t,direct
o p e r a n d i,o p e r a n d i n,no,_,_,_
d r i n k k i,d r i n k i n,yes,quantitative,k,direct
l o m a k k e i s t o,l o m a k k e i s t o n,no,_,_,_
p o m m i,p o m m i n,no,_,_,_
t e r v a,t e r v a n,no,_,_,_
t u r p a,t u r v a n,yes,qualitative,p,direct
m i i t t i,m i i t i n,yes,quantitative,t,direct
h o p,h o p i n,no,_,_,_
h y y t e l ö,h y y t e l ö n,no,_,_,_
v ä h e n t ä m i n e n,v ä h e n t ä m i s e n,no,_,_,_
p e i t t ä m i n e n,p e i t t ä m i s e n,no,_,_,_
m ö k k i,m ö k i n,yes,quantitative,k,direct
p o i k a,p o j a n,no,_,_,_
s k r i p t i,s k r i p t i n,no,_,_,_
k e s k u s t e l u,k e s k u s t e l u n,no,_,_,_
s y ö t t ö,s y ö t ö n,yes,quantitative,t,direct
t o t t e l e v a i s u u s,t o t t e l e v a i s u u d e n,no,_,_,_
j a t k a m i n e n,j a t k a m i s e n,no,_,_,_
k y l ä l ä i n e n,k y l ä l ä i s e n,no,_,_,_
i r t i s a n o m i n e n,i r t i s a n o m i s e n,no,_,_,_
v a d e l m a,v a d e l m a n,no,_,_,_
v u o r i s t o,v u o r i s t o n,no,_,_,_
s o k e r i,s o k e r i n,no,_,_,_
j ä r v i,j ä r v e n,no,_,_,_
p i h a,p i h a n,no,_,_,_
k u o l i n s y y,k u o l i n s y y n,no,_,_,_
i s l a m,i s l a m i n,no,_,_,_
a s t u m i n e n,a s t u m i s e n,no,_,_,_
p e r h o n e n,p e r h o s e n,no,_,_,_
h a m p u r i l a i n e n,h a m p u r i l a i s e n,no,_,_,_
v a r i s,v a r i k s e n,no,_,_,_
v ä r j ä ä m i n e n,v ä r j ä ä m i s e n,no,_,_,_
s a r k a s m i,s a r k a s m i n,no,_,_,_
ä r t y m y s,ä r t y m y k s e n,no,_,_,_
s e k o i t u s,s e k o i t u k s e n,no,_,_,_
m u l k o i l u,m u l k o i l u n,no,_,_,_
t u o t t a v u u s,t u o t t a v u u d e n,no,_,_,_
m u s i k a a l i,m u s i k a a l i n,no,_,_,_
m e l l a k k a,m e l l a k a n,yes,quantitative,k,direct
p ä ä l l e k k ä i s y y s,p ä ä l l e k k ä i s y y d e n,no,_,_,_
m ä n t y,m ä n n y n,yes,qualitative,t,direct
o h j u s,o h j u k s e n,no,_,_,_
t a r j o n t a,t a r j o n n a n,yes,qualitative,t,direct
l a u t a n e n,l a u t a s e n,no,_,_,_
k u j a,k u j a n,no,_,_,_
e c u,e c u n,no,_,_,_
m u u n t e l u,m u u n t e l u n,no,_,_,_
m a t t o,m a t o n,yes,quantitative,t,direct
m e n e t e l m ä,m e n e t e l m ä n,no,_,_,_
f e e d b a c k,f e e d b a c k i n,no,_,_,_
t u p a k k a,t u p a k a n,yes,quantitative,k,direct
k e k s i,k e k s i n,no,_,_,_
t o r v i,t o r v e n,no,_,_,_
r a p u,r a v u n,yes,qualitative,p,direct
p a r v e k e,p a r v e k k e e n,yes,quantitative,k,inverse
l a s k u t u s,l a s k u t u k s e n,no,_,_,_
t e n n i s,t e n n i k s e n,no,_,_,_
v e r s t a s,v e r s t a a n,no,_,_,_
v i i t t a,v i i t a n,yes,quantitative,t,direct
e l e m e n t t i,e l e m e n t i n,yes,quantitative,t,direct
k a p a k k a,k a p a k a n,yes,quantitative,k,direct
l o m a,l o m a n,no,_,_,_
e d e l l y t y s,e d e l l y t y k s e n,no,_,_,_
a h v e n,a h v e n e n,no,_,_,_
k u v i o i n t i,k u v i o i n n i n,yes,qualitative,t,direct
h i t t i,h i t i n,yes,quantitative,t,direct
t a u o t u s,t a u o t u k s e n,no,_,_,_
b u r n o u t,b u r n o u t i n,no,_,_,_
s a a j a,s a a j a n,no,_,_,_
k y l p y,k y l v y n,yes,qualitative,p,direct
a s e m a,a s e m a n,no,_,_,_
d e m a r i,d e m a r i n,no,_,_,_
r y ö v ä r i,r y ö v ä r i n,no,_,_,_
b a l e t t i,b a l e t i n,yes,quantitative,t,direct
s a a l i s,s a a l i i n,no,_,_,_
h i i h t o,h i i h d o n,yes,qualitative,t,direct
h a k e m u s,h a k e m u k s e n,no,_,_,_
f o o r u m i,f o o r u m i n,no,_,_,_
s p o t t i,s p o t i n,yes,quantitative,t,direct
k i r u r g i,k i r u r g i n,no,_,_,_
l u m o u s,l u m o u k s e n,no,_,_,_
k i i r e,k i i r e e n,no,_,_,_
h o u s e,h o u s e n,no,_,_,_
s u o l i s t o,s u o l i s t o n,no,_,_,_
m e n e t y s,m e n e t y k s e n,no,_,_,_
a k k u,a k u n,yes,quantitative,k,direct
k o e,k o k e e n,yes,qualitative,k,inverse
s u o m e n t a j a,s u o m e n t a j a n,no,_,_,_
k ä m p p ä,k ä m p ä n,yes,quantitative,p,direct
s u i h k u,s u i h k u n,no,_,_,_
p y h i m y s,p y h i m y k s e n,no,_,_,_
g e n e r a a t t o r i,g e n e r a a t t o r i n,no,_,_,_
p r o s e s s i,p r o s e s s i n,no,_,_,_
o h j e,o h j e e n,no,_,_,_
o s t a j a,o s t a j a n,no,_,_,_
v a l m e n t a j a,v a l m e n t a j a n,no,_,_,_
o r a s t u s,o r a s t u k s e n,no,_,_,_
i m m u n o l o g i a,i m m u n o l o g i a n,no,_,_,_
p u u t e,p u u t t e e n,yes,quantitative,t,inverse
s i n i n e n,s i n i s e n,no,_,_,_
n ä k e m ä,n ä k e m ä n,no,_,_,_
i n i t i a a t i o,i n i t i a a t i o n,no,_,_,_
k o n s u l t o i n t i,k o n s u l t o i n n i n,yes,qualitative,t,direct
v a s t a a n t u l i j a,v a s t a a n t u l i j a n,no,_,_,_
p a s t o r i,p a s t o r i n,no,_,_,_
l o n k e r o,l o n k e r o n,no,_,_,_
a s k a r e,a s k a r e e n,no,_,_,_
k i i h k o,k i i h k o n,no,_,_,_
s a n k o,s a n g o n,yes,qualitative,k,direct
v a l k a i s u,v a l k a i s u n,no,_,_,_
r a k a s t u m i n e n,r a k a s t u m i s e n,no,_,_,_
k a u n e u s,k a u n e u d e n,no,_,_,_
d e o d o r a n t t i,d e o d o r a n t i n,yes,quantitative,t,direct
k a n s a i n v ä l i s t ä m i n e n,k a n s a i n v ä l i s t ä m i s e n,no,_,_,_
n o k a r e,n o k a r e e n,no,_,_,_
v e t o k e t j u,v e t o k e t j u n,no,_,_,_
h a a s t a t t e l i j a,h a a s t a t t e l i j a n,no,_,_,_
v a l m i s t a m i n e n,v a l m i s t a m i s e n,no,_,_,_
k o r i s t e,k o r i s t e e n,no,_,_,_
n o r j a l a i n e n,n o r j a l a i s e n,no,_,_,_
k o i t t o,k o i t o n,yes,quantitative,t,direct
p y s ä k k i,p y s ä k i n,yes,quantitative,k,direct
l i b r e t t o,l i b r e t o n,yes,quantitative,t,direct
o s i o,o s i o n,no,_,_,_
l a a t u,l a a d u n,yes,qualitative,t,direct
j o u k k o,j o u k o n,yes,quantitative,k,direct
p a i n o s t u s,p a i n o s t u k s e n,no,_,_,_
f y y s i k k o,f y y s i k o n,yes,quantitative,k,direct
s i v i s t y s,s i v i s t y k s e n,no,_,_,_
p e l t o,p e l l o n,yes,qualitative,t,direct
s ä ä n t ö,s ä ä n n ö n,yes,qualitative,t,direct
l a h j a,l a h j a n,no,_,_,_
m a h d o l l i s u u s,m a h d o l l i s u u d e n,no,_,_,_
v a i h d o s,v a i h d o k s e n,no,_,_,_
r a h t i,r a h d i n,yes,qualitative,t,direct
j a o t t e l u,j a o t t e l u n,no,_,_,_
y k s i n o s t o,y k s i n o s t o n,no,_,_,_
s a l a a t t i,s a l a a t i n,yes,quantitative,t,direct
r ä m i n ä,r ä m i n ä n,no,_,_,_
u r a k k a,u r a k a n,yes,quantitative,k,direct
p u o l u e e t t o m u u s,p u o l u e e t t o m u u d e n,no,_,_,_
p o s t a u s,p o s t a u k s e n,no,_,_,_
h u i m a u s,h u i m a u k s e n,no,_,_,_
t e u r a s t u s,t e u r a s t u k s e n,no,_,_,_
l a p p u,l a p u n,yes,quantitative,p,direct
t i l a,t i l a n,no,_,_,_
h o u s u,h o u s u n,no,_,_,_
u n e l m a,u n e l m a n,no,_,_,_
p o i s t u m i n e n,p o i s t u m i s e n,no,_,_,_
s t u n t t i,s t u n t i n,yes,quantitative,t,direct
k i i n t i ö,k i i n t i ö n,no,_,_,_
n o r s u,n o r s u n,no,_,_,_
s u o l i,s u o l e n,no,_,_,_
k a u p u n k i,k a u p u n g i n,yes,qualitative,k,direct
a l o i t t e l i j a,a l o i t t e l i j a n,no,_,_,_
t a r k i s t u s,t a r k i s t u k s e n,no,_,_,_
n a i n e n,n a i s e n,no,_,_,_
o r a v a,o r a v a n,no,_,_,_
r y n t ä y s,r y n t ä y k s e n,no,_,_,_
a s u m i n e n,a s u m i s e n,no,_,_,_
v ä r i t y s,v ä r i t y k s e n,no,_,_,_
k u u s i k k o,k u u s i k o n,yes,quantitative,k,direct
a n t e e k s i p y y n t ö,a n t e e k s i p y y n n ö n,yes,qualitative,t,direct
t ä y d e n n y s,t ä y d e n n y k s e n,no,_,_,_
v e l k a a n t u n e i s u u s,v e l k a a n t u n e i s u u d e n,no,_,_,_
h y v i t y s,h y v i t y k s e n,no,_,_,_
k e s ä k u u,k e s ä k u u n,no,_,_,_
l o u k k a a n t u m i n e n,l o u k k a a n t u m i s e n,no,_,_,_
t u r v a,t u r v a n,no,_,_,_
n o k k a,n o k a n,yes,quantitative,k,direct
k o u r a l l i n e n,k o u r a l l i s e n,no,_,_,_
n e l o n e n,n e l o s e n,no,_,_,_
s u r m a,s u r m a n,no,_,_,_
b a r b i,b a r b i n,no,_,_,_
s ä ä t i ö,s ä ä t i ö n,no,_,_,_
v a s t a k k a i n a s e t t e l u,v a s t a k k a i n a s e t t e l u n,no,_,_,_
s m e t a n a,s m e t a n a n,no,_,_,_
t e k n o l o g i a,t e k n o l o g i a n,no,_,_,_
t ä s m e n n y s,t ä s m e n n y k s e n,no,_,_,_
o r e g a n o,o r e g a n o n,no,_,_,_
n i e l u,n i e l u n,no,_,_,_
r o o l i t u s,r o o l i t u k s e n,no,_,_,_
t š a g a t a i,t š a g a t a i n,no,_,_,_
k o r v a u s,k o r v a u k s e n,no,_,_,_
p y s y v y y s,p y s y v y y d e n,no,_,_,_
k u o r m a,k u o r m a n,no,_,_,_
m e t e l ö i n t i,m e t e l ö i n n i n,yes,qualitative,t,direct
j u n a,j u n a n,no,_,_,_
l y h e n n e,l y h e n t e e n,yes,qualitative,t,inverse
d i a b e e t i k k o,d i a b e e t i k o n,yes,quantitative,k,direct
k e l l o n l y ö m ä,k e l l o n l y ö m ä n,no,_,_,_
t e r a p i a,t e r a p i a n,no,_,_,_
v e r o t u s,v e r o t u k s e n,no,_,_,_
v i h j e,v i h j e e n,no,_,_,_
k y s y t t ä v ä,k y s y t t ä v ä n,no,_,_,_
l u i s t i n,l u i s t i m e n,no,_,_,_
v i r i t y s,v i r i t y k s e n,no,_,_,_
v a s t a i s u u s,v a s t a i s u u d e n,no,_,_,_
m y y r ä,m y y r ä n,no,_,_,_
h ö l k k ä,h ö l k ä n,yes,quantitative,k,direct
t a n h u a,t a n h u a n,no,_,_,_
t i i v i s t ä m i n e n,t i i v i s t ä m i s e n,no,_,_,_
n e u l e,n e u l e e n,no,_,_,_
k o n t t i,k o n t i n,yes,quantitative,t,direct
m i t t a r i,m i t t a r i n,no,_,_,_
t r a k t o r i,t r a k t o r i n,no,_,_,_
s p e k u l a a t i o,s p e k u l a a t i o n,no,_,_,_
v i h o l l i n e n,v i h o l l i s e n,no,_,_,_
l i p p i s,l i p p i k s e n,no,_,_,_
s i k i ö,s i k i ö n,no,_,_,_
h u o n e i s t o,h u o n e i s t o n,no,_,_,_
v a s i k k a,v a s i k a n,yes,quantitative,k,direct
p u r k a m i n e n,p u r k a m i s e n,no,_,_,_
k o m m u n i k a a t i o,k o m m u n i k a a t i o n,no,_,_,_
l u e n n o i j a,l u e n n o i j a n,no,_,_,_
t a i p u m u s,t a i p u m u k s e n,no,_,_,_
p e r s e,p e r s e e n,no,_,_,_
t u l o k a s,t u l o k k a a n,yes,quantitative,k,inverse
v i r t a a m i n e n,v i r t a a m i s e n,no,_,_,_
r o o l i,r o o l i n,no,_,_,_
p a l a v e r i,p a l a v e r i n,no,_,_,_
d a t a,d a t a n,no,_,_,_
a s t e r i s k i,a s t e r i s k i n,no,_,_,_
s a a r i s t o,s a a r i s t o n,no,_,_,_
v a h v i s t a m i n e n,v a h v i s t a m i s e n,no,_,_,_
m o k a,m o k a n,no,_,_,_
a n a l y s o i n t i,a n a l y s o i n n i n,yes,qualitative,t,direct
s y y t t ä j ä,s y y t t ä j ä n,no,_,_,_
p e l a s t a m i n e n,p e l a s t a m i s e n,no,_,_,_
k u v a a m i n e n,k u v a a m i s e n,no,_,_,_
k u l j e t t a m i n e n,k u l j e t t a m i s e n,no,_,_,_
p ä ä l l i k k ö,p ä ä l l i k ö n,yes,quantitative,k,direct
h y p o t e e s i,h y p o t e e s i n,no,_,_,_
k u l t t u u r i,k u l t t u u r i n,no,_,_,_
a s p i r i i n i,a s p i r i i n i n,no,_,_,_
h i s t o r i i k k i,h i s t o r i i k i n,yes,quantitative,k,direct
s y r j i m ä t t ö m y y s,s y r j i m ä t t ö m y y d e n,no,_,_,_
k u o s i,k u o s i n,no,_,_,_
t a n s s i m i n e n,t a n s s i m i s e n,no,_,_,_
m e p p i,m e p i n,yes,quantitative,p,direct
v o i m a k k u u s,v o i m a k k u u d e n,no,_,_,_
r o m u,r o m u n,no,_,_,_
k a p t e e n i,k a p t e e n i n,no,_,_,_
p o i k k e a m i n e n,p o i k k e a m i s e n,no,_,_,_
k o p u t t a m i n e n,k o p u t t a m i s e n,no,_,_,_
y l l y t t ä m i n e n,y l l y t t ä m i s e n,no,_,_,_
n o u t o,n o u d o n,yes,qualitative,t,direct
p e n s a i k k o,p e n s a i k o n,yes,quantitative,k,direct
p r o m i l l e,p r o m i l l e n,no,_,_,_
j ä r j e s t e l m ä,j ä r j e s t e l m ä n,no,_,_,_
s i t r u u n a,s i t r u u n a n,no,_,_,_
p o l i i t i k k o,p o l i i t i k o n,yes,quantitative,k,direct
a n k a r u u s,a n k a r u u d e n,no,_,_,_
r a n s k a,r a n s k a n,no,_,_,_
e t u i s u u s,e t u i s u u d e n,no,_,_,_
v a i k u t e l m a,v a i k u t e l m a n,no,_,_,_
t e m p a u s,t e m p a u k s e n,no,_,_,_
e u r o,e u r o n,no,_,_,_
o p p i n e i s u u s,o p p i n e i s u u d e n,no,_,_,_
s y l e i l y,s y l e i l y n,no,_,_,_
p y y n t ö,p y y n n ö n,yes,qualitative,t,direct
g i l j o t i i n i,g i l j o t i i n i n,no,_,_,_
s a i r a s t u m i n e n,s a i r a s t u m i s e n,no,_,_,_
r ä y s k ä,r ä y s k ä n,no,_,_,_
m o n a r k i s t i,m o n a r k i s t i n,no,_,_,_
h y ö d y n n e t t ä v y y s,h y ö d y n n e t t ä v y y d e n,no,_,_,_
k a n t e l u,k a n t e l u n,no,_,_,_
v i h a n n e s,v i h a n n e k s e n,no,_,_,_
m u s k e t t i,m u s k e t i n,yes,quantitative,t,direct
v a r o m a t t o m u u s,v a r o m a t t o m u u d e n,no,_,_,_
v e l j e s,v e l j e k s e n,no,_,_,_
m u t a n t t i,m u t a n t i n,yes,quantitative,t,direct
t e r v e y s,t e r v e y d e n,no,_,_,_
r a j a u s,r a j a u k s e n,no,_,_,_
p a i n o k k u u s,p a i n o k k u u d e n,no,_,_,_
k u v a u s,k u v a u k s e n,no,_,_,_
v ä l i t t ä j ä,v ä l i t t ä j ä n,no,_,_,_
p r e s i d e n t t i y s,p r e s i d e n t t i y d e n,no,_,_,_
j o u t i l a s,j o u t i l a a n,no,_,_,_
k r a p u l a,k r a p u l a n,no,_,_,_
a s e n n e,a s e n t e e n,yes,qualitative,t,inverse
r e u n a,r e u n a n,no,_,_,_
l u k k i,l u k i n,yes,quantitative,k,direct
t a a n t u m u k s e l l i s u u s,t a a n t u m u k s e l l i s u u d e n,no,_,_,_
l i u s k a,l i u s k a n,no,_,_,_
p i t o,p i d o n,yes,qualitative,t,direct
h a a v o i t t u v u u s,h a a v o i t t u v u u d e n,no,_,_,_
v i i v y t y s,v i i v y t y k s e n,no,_,_,_
t ä y t e,t ä y t t e e n,yes,quantitative,t,inverse
k a a l i,k a a l i n,no,_,_,_
v ä ä p e l i,v ä ä p e l i n,no,_,_,_
m a t k a,m a t k a n,no,_,_,_
r a u t a,r a u d a n,yes,qualitative,t,direct
r i i t t ä v y y s,r i i t t ä v y y d e n,no,_,_,_
s a t t u m a,s a t t u m a n,no,_,_,_
e k s k u r s i o,e k s k u r s i o n,no,_,_,_
h e r ä ä m i n e n,h e r ä ä m i s e n,no,_,_,_
